"ID","date","study_no","org_name","org_detail","inoc_conc","incubation","colony_count_raw","bact_hours","csa_hours","hours_diff","comment"
132,2013-05-24,"1059D","lusitaniae","cl_atcc_34449","0.6","csa_and_bact",2,22.8,25.6,2.8,""
133,2013-05-24,"1060A","lusitaniae","cl_atcc_34449","3e+05","csa_and_bact",NA,8.16,8.7,0.539999999999999,""
134,2013-05-24,"1060B","lusitaniae","cl_atcc_34449","3e+03","csa_and_bact",NA,13.44,15,1.56,""
135,2013-05-24,"1060C","lusitaniae","cl_atcc_34449","30","csa_and_bact",78,20.16,24.3,4.14,""
136,2013-05-24,"1060D","lusitaniae","cl_atcc_34449","0.6","csa_and_bact",3,27.12,29.7,2.58,""
137,2013-05-29,"1061A","lusitaniae","cl_atcc_34449","3e+05","csa_and_bact",NA,7.53,7.7,0.17,""
138,2013-05-29,"1061B","lusitaniae","cl_atcc_34449","3e+03","csa_and_bact",NA,12.36,13.3,0.940000000000001,""
139,2013-05-29,"1061C","lusitaniae","cl_atcc_34449","30","csa_and_bact",77,18.19,18.3,0.109999999999999,""
140,2013-05-29,"1061D","lusitaniae","cl_atcc_34449","0.6","csa_and_bact",1,22.86,23,0.140000000000001,""
141,2013-05-29,"1062A","lusitaniae","cl_atcc_34449","3e+05","csa_and_bact",NA,8.36,8.3,-0.0599999999999987,""
142,2013-05-29,"1062B","lusitaniae","cl_atcc_34449","3e+03","csa_and_bact",NA,12.36,15,2.64,""
143,2013-05-29,"1062C","lusitaniae","cl_atcc_34449","30","csa_and_bact",90,18.03,21,2.97,""
144,2013-05-29,"1062D","lusitaniae","cl_atcc_34449","0.6","csa_and_bact",2,22.86,28.7,5.84,""
145,2013-05-29,"1063A","glabrata","cg_atcc_15126","3e+05","csa_only",NA,NA,NA,NA,""
146,2013-05-29,"1063B","glabrata","cg_atcc_15126","3e+03","csa_only",NA,NA,NA,NA,""
147,2013-05-29,"1063C","glabrata","cg_atcc_15126","30","csa_and_bact",141,45.36,18.7,-26.66,""
148,2013-05-29,"1063D","glabrata","cg_atcc_15126","0.6","csa_and_bact",2,57.86,23.3,-34.56,""
149,2013-05-29,"1064A","glabrata","cg_atcc_15126","3e+05","csa_only",NA,NA,NA,NA,""
150,2013-05-29,"1064B","glabrata","cg_atcc_15126","3e+03","csa_only",NA,NA,NA,NA,""
151,2013-05-29,"1064C","glabrata","cg_atcc_15126","30","csa_and_bact",161,39.53,18,-21.53,""
152,2013-05-29,"1064D","glabrata","cg_atcc_15126","0.6","csa_and_bact",7,56.03,23,-33.03,""
153,2013-05-29,"1065A","glabrata","cg_atcc_15126","3e+05","csa_only",NA,NA,NA,NA,""
154,2013-05-29,"1065B","glabrata","cg_atcc_15126","3e+03","csa_only",NA,NA,NA,NA,""
155,2013-05-29,"1065C","glabrata","cg_atcc_15126","30","csa_and_bact",102,39.86,19.2,-20.66,""
156,2013-05-29,"1065D","glabrata","cg_atcc_15126","0.6","csa_and_bact",2,62.86,24,-38.86,""
157,2013-05-29,"1066A","glabrata","cg_atcc_15126","3e+05","csa_only",NA,NA,NA,NA,""
158,2013-05-29,"1066B","glabrata","cg_atcc_15126","3e+03","csa_only",NA,NA,NA,NA,""
159,2013-05-29,"1066C","glabrata","cg_atcc_15126","30","csa_and_bact",120,38.03,22,-16.03,""
160,2013-05-29,"1066D","glabrata","cg_atcc_15126","0.6","csa_and_bact",2,61.19,27.3,-33.89,""
161,2013-05-29,"1067","none","neg_ctrl","0","csa_and_bact",NA,NA,NA,NA,""
187,2013-07-10,"1075A","crypto_neoform","crypto_neof_atcc_14116","3e+05","csa_and_bact",NA,13.11,13.3,0.190000000000001,""
188,2013-07-10,"1075B","crypto_neoform","crypto_neof_atcc_14116","3e+03","csa_and_bact",NA,24.44,26.6,2.16,""
189,2013-07-10,"1075C","crypto_neoform","crypto_neof_atcc_14116","30","csa_and_bact",60,36.96,39.3,2.34,""
190,2013-07-10,"1075D","crypto_neoform","crypto_neof_atcc_14116","0.6","csa_and_bact",4,47.52,50.7,3.18,""
191,2013-07-10,"1076A","crypto_neoform","crypto_neof_atcc_14116","3e+05","csa_and_bact",NA,11.45,14.7,3.25,""
